=== MAX–MIN FAIRNESS (CLASSICAL) FOR RIDESHARE ===
Drivers: 100, Riders: 500, Graph nodes: 156, edges: 410
Phase 1 (max-min) optimal min_load z*: 0
Phase 1 load per driver: d1:0, d2:0, d3:0, d4:0, d5:0, d6:0, d7:0, d8:0, d9:0, d10:0, d11:0, d12:0, d13:0, d14:0, d15:0, d16:0, d17:0, d18:0, d19:0, d20:0, d21:0, d22:0, d23:0, d24:0, d25:0, d26:0, d27:0, d28:0, d29:0, d30:0, d31:0, d32:0, d33:0, d34:0, d35:0, d36:0, d37:0, d38:0, d39:0, d40:0, d41:0, d42:0, d43:0, d44:0, d45:0, d46:0, d47:0, d48:0, d49:0, d50:0, d51:0, d52:0, d53:0, d54:0, d55:0, d56:0, d57:0, d58:0, d59:0, d60:0, d61:0, d62:0, d63:0, d64:0, d65:0, d66:0, d67:0, d68:0, d69:0, d70:0, d71:0, d72:0, d73:0, d74:0, d75:0, d76:0, d77:0, d78:0, d79:0, d80:0, d81:0, d82:0, d83:0, d84:0, d85:0, d86:0, d87:0, d88:0, d89:0, d90:0, d91:0, d92:0, d93:0, d94:0, d95:0, d96:0, d97:0, d98:0, d99:0, d100:0
Phase 2 (efficiency under fairness) optimal.

=== FINAL RESULTS ===
 Rider r172 -> Driver None
 Rider r173 -> Driver d51
 Rider r174 -> Driver d60
 Rider r175 -> Driver d93
 Rider r176 -> Driver None
 Rider r177 -> Driver None
 Rider r178 -> Driver d34
 Rider r179 -> Driver None
 Rider r180 -> Driver None
 Rider r181 -> Driver None
 Rider r182 -> Driver d40
 Rider r183 -> Driver d42
 Rider r184 -> Driver d57
 Rider r185 -> Driver None
 Rider r186 -> Driver d85
 Rider r187 -> Driver d42
 Rider r188 -> Driver None
 Rider r189 -> Driver d43
 Rider r190 -> Driver d51
 Rider r191 -> Driver d43
 Rider r192 -> Driver d20
 Rider r193 -> Driver None
 Rider r194 -> Driver None
 Rider r195 -> Driver None
 Rider r196 -> Driver None
 Rider r197 -> Driver d80
 Rider r198 -> Driver None
 Rider r199 -> Driver None
 Rider r200 -> Driver d56
 Rider r201 -> Driver d7
 Rider r202 -> Driver d66
 Rider r203 -> Driver d55
 Rider r204 -> Driver d72
 Rider r205 -> Driver d46
 Rider r206 -> Driver d55
 Rider r207 -> Driver d78
 Rider r208 -> Driver d61
 Rider r209 -> Driver d7
 Rider r210 -> Driver d34
 Rider r211 -> Driver None
 Rider r212 -> Driver d51
 Rider r213 -> Driver d72
 Rider r214 -> Driver None
 Rider r215 -> Driver d32
 Rider r216 -> Driver None
 Rider r217 -> Driver d21
 Rider r218 -> Driver None
 Rider r219 -> Driver d22
 Rider r220 -> Driver None
 Rider r221 -> Driver None
 Rider r222 -> Driver d82
 Rider r223 -> Driver d21
 Rider r224 -> Driver d86
 Rider r225 -> Driver None
 Rider r226 -> Driver None
 Rider r227 -> Driver None
 Rider r228 -> Driver d32
 Rider r229 -> Driver d35
 Rider r230 -> Driver None
 Rider r231 -> Driver None
 Rider r232 -> Driver d77
 Rider r233 -> Driver d68
 Rider r234 -> Driver d74
 Rider r235 -> Driver d27
 Rider r236 -> Driver d39
 Rider r237 -> Driver None
 Rider r238 -> Driver d17
 Rider r239 -> Driver d34
 Rider r240 -> Driver d15
 Rider r241 -> Driver None
 Rider r242 -> Driver None
 Rider r243 -> Driver d15
 Rider r244 -> Driver None
 Rider r245 -> Driver d96
 Rider r246 -> Driver d75
 Rider r247 -> Driver None
 Rider r248 -> Driver d85
 Rider r249 -> Driver d32
 Rider r250 -> Driver d60
 Rider r251 -> Driver d72
 Rider r252 -> Driver None
 Rider r253 -> Driver d14
 Rider r254 -> Driver None
 Rider r255 -> Driver d93
 Rider r256 -> Driver d16
 Rider r257 -> Driver d55
 Rider r258 -> Driver d82
 Rider r259 -> Driver None
 Rider r260 -> Driver None
 Rider r261 -> Driver None
 Rider r262 -> Driver d68
 Rider r263 -> Driver None
 Rider r264 -> Driver None
 Rider r265 -> Driver None
 Rider r266 -> Driver None
 Rider r267 -> Driver d20
 Rider r268 -> Driver d89
 Rider r269 -> Driver None
 Rider r270 -> Driver None
 Rider r271 -> Driver d8
 Rider r272 -> Driver None
 Rider r273 -> Driver None
 Rider r274 -> Driver None
 Rider r275 -> Driver d70
 Rider r276 -> Driver d48
 Rider r277 -> Driver d52
 Rider r278 -> Driver d17
 Rider r279 -> Driver d38
 Rider r280 -> Driver None
 Rider r281 -> Driver d25
 Rider r282 -> Driver d52
 Rider r283 -> Driver d58
 Rider r284 -> Driver d49
 Rider r285 -> Driver None
 Rider r286 -> Driver d34
 Rider r287 -> Driver d82
 Rider r288 -> Driver None
 Rider r289 -> Driver None
 Rider r290 -> Driver None
 Rider r291 -> Driver d78
 Rider r292 -> Driver d85
 Rider r293 -> Driver d39
 Rider r294 -> Driver d98
 Rider r295 -> Driver d75
 Rider r296 -> Driver d23
 Rider r297 -> Driver None
 Rider r298 -> Driver d39
 Rider r299 -> Driver None
 Rider r300 -> Driver d16
 Rider r301 -> Driver None
 Rider r302 -> Driver d80
 Rider r303 -> Driver None
 Rider r304 -> Driver d65
 Rider r305 -> Driver None
 Rider r306 -> Driver d63
 Rider r307 -> Driver None
 Rider r308 -> Driver d37
 Rider r309 -> Driver d85
 Rider r310 -> Driver None
 Rider r311 -> Driver None
 Rider r312 -> Driver d52
 Rider r313 -> Driver d80
 Rider r314 -> Driver None
 Rider r315 -> Driver None
 Rider r316 -> Driver d77
 Rider r317 -> Driver d88
 Rider r318 -> Driver d22
 Rider r319 -> Driver d21
 Rider r320 -> Driver None
 Rider r321 -> Driver None
 Rider r322 -> Driver None
 Rider r323 -> Driver None
 Rider r324 -> Driver None
 Rider r325 -> Driver None
 Rider r326 -> Driver d66
 Rider r327 -> Driver d60
 Rider r328 -> Driver d74
 Rider r329 -> Driver d22
 Rider r330 -> Driver None
 Rider r331 -> Driver None
 Rider r332 -> Driver d60
 Rider r333 -> Driver None
 Rider r334 -> Driver d57
 Rider r335 -> Driver None
 Rider r336 -> Driver None
 Rider r337 -> Driver d91
 Rider r338 -> Driver d65
 Rider r339 -> Driver d66
 Rider r340 -> Driver None
 Rider r341 -> Driver None
 Rider r342 -> Driver d91
 Rider r343 -> Driver None
 Rider r344 -> Driver None
 Rider r345 -> Driver None
 Rider r346 -> Driver None
 Rider r347 -> Driver d38
 Rider r348 -> Driver None
 Rider r349 -> Driver None
 Rider r350 -> Driver None
 Rider r351 -> Driver None
 Rider r352 -> Driver None
 Rider r353 -> Driver None
 Rider r354 -> Driver None
 Rider r355 -> Driver d27
 Rider r356 -> Driver None
 Rider r357 -> Driver None
 Rider r358 -> Driver d97
 Rider r359 -> Driver d75
